Wahga Town,31.603,74.4001
Samanabad Town,31.525,74.3219
Samanabad Town,31.5444,74.3072
Gulberg Town,31.5676,74.3596
Sheikhupura,31.7214,73.9283
Ferozwala,31.6442,74.1831
Data Ganj Bakhsh Town,31.5641,74.3256
Aziz Bhati Town,31.5511,74.3689
Gulberg Town,31.4869,74.3197
Aziz Bhati Town,31.5553,74.4035
Data Ganj Bakhsh Town,31.566,74.3355
Sheikhupura,31.704,73.9646
Data Ganj Bakhsh Town,31.5669,74.3112
Wahga Town,31.6083,74.4051
Aziz Bhati Town,31.5566,74.4
Cantonment,31.47,74.3762
Sheikhupura,31.6379,73.9196
Ravi Town,31.6113,74.2673
Ravi Town,31.6016,74.3021
Shalamar Town,31.5954,74.3726
Ferozwala,31.6353,74.2786
Nishter Town,31.4452,74.3458
Allama Iqbal Town,31.517,74.2684
Ferozwala,31.6606,74.2814
Data Ganj Bakhsh Town,31.5673,74.2862
Nishter Town,31.4282,74.367
POTOHAR,33.6356,73.1066
Data Ganj Bakhsh Town,31.5765,74.3305
Faisal Abad City,31.442,73.0523
Gulberg Town,31.5635,74.3606
Ravi Town,31.5825,74.3286
Samanabad Town,31.5206,74.2892
Faisal Abad City,31.3809,73.0933
Samanabad Town,31.5371,74.2694
Ravi Town,31.5959,74.3083
Cantonment,31.4685,74.3465
Samanabad Town,31.5347,74.2859
Allama Iqbal Town,31.5231,74.2713
Aziz Bhati Town,31.5617,74.4223
Ravi Town,31.581,74.3267
Gulberg Town,31.5748,74.364
Data Ganj Bakhsh Town,31.564,74.3238
Ravi Town,31.5809,74.3266
Wahga Town,31.5882,74.4042
Wahga Town,31.6067,74.4008
Ferozwala,31.6325,74.2696
Aziz Bhati Town,31.5646,74.3907
Samanabad Town,31.4986,74.3157
Samanabad Town,31.5441,74.2957
Ravi Town,31.6271,74.2862
Allama Iqbal Town,31.437,74.2077
Wahga Town,31.6043,74.5286
Shalamar Town,31.5853,74.3473
Wahga Town,31.5846,74.4099
Data Ganj Bakhsh Town,31.5584,74.314
Allama Iqbal Town,31.5291,74.2705
Nishter Town,31.4353,74.3046
Nishter Town,31.4313,74.357
Data Ganj Bakhsh Town,31.5667,74.3258
Nishter Town,31.4459,74.3866
Cantonment,31.4768,74.3492
Allama Iqbal Town,31.5275,74.2775
Sheikhupura,31.589,73.8176
Safdarabad,31.7377,73.5798
Faisal Abad City,31.4254,73.0839
Cantonment,31.485,74.4178
Ferozwala,31.7,74.1774
Wahga Town,31.5865,74.4103
Sheikhupura,31.7034,74.0224
Samanabad Town,31.5353,74.3142
Ravi Town,31.6073,74.306
Samanabad Town,31.5121,74.2873
Muridkey,31.8176,74.2715
Sheikhupura,31.7087,73.9731
Samanabad Town,31.5307,74.3127
Data Ganj Bakhsh Town,31.5735,74.2995
Allama Iqbal Town,31.4468,74.2828
Gulberg Town,31.5472,74.3515
Data Ganj Bakhsh Town,31.5571,74.2928
Aziz Bhati Town,31.5533,74.4047
Data Ganj Bakhsh Town,31.5577,74.3262
Ravi Town,31.5778,74.315
Ferozwala,31.6533,74.2788
Ravi Town,31.6232,74.2851
Wahga Town,31.5867,74.4038
Allama Iqbal Town,31.4535,74.3214
Aziz Bhati Town,31.5801,74.4009
Ravi Town,31.6102,74.262
Cantonment,31.4515,74.3606
Sheikhupura,31.8169,73.9233
Ravi Town,31.625,74.3063
Shalamar Town,31.5749,74.3825
Gulberg Town,31.5597,74.3555
Allama Iqbal Town,31.4795,74.2967
Data Ganj Bakhsh Town,31.5673,74.311
Nishter Town,31.3319,74.3938
Cantonment,31.4975,74.3859
Ravi Town,31.5844,74.3082
Faisal Abad City,31.4213,73.0839
Allama Iqbal Town,31.521,74.2751
Muridkey,31.8143,74.2533
Cantonment,31.4798,74.3671
Gulberg Town,31.5438,74.3501
Faisal Abad City,31.4338,73.092
RAWAL,33.6316,73.0332
Sheikhupura,31.7009,74.0375
Sharaqpur,31.5355,74.107
Muridkey,31.7836,74.2571
Ravi Town,31.6215,74.2894
Allama Iqbal Town,31.4584,74.2884
Gulberg Town,31.5235,74.3454
Data Ganj Bakhsh Town,31.5589,74.2939
Gulberg Town,31.5651,74.3358
Wahga Town,31.5916,74.452
Gulberg Town,31.5279,74.3467
Aziz Bhati Town,31.566,74.3929
Shalamar Town,31.5908,74.3381
Shalamar Town,31.5797,74.381
Ravi Town,31.6061,74.309
Shalamar Town,31.5923,74.3834
Data Ganj Bakhsh Town,31.5376,74.3355
Allama Iqbal Town,31.4719,74.2991
Ferozwala,31.7133,74.1825
RAWAL,33.6263,73.033
Ravi Town,31.6035,74.3322
Allama Iqbal Town,31.4606,74.3139
Nishter Town,31.4309,74.3575
Cantonment,31.5435,74.3784
Wahga Town,31.6065,74.413
Gulberg Town,31.5092,74.3586
Samanabad Town,31.5163,74.3112
Faisal Abad City,31.423,73.0839
Aziz Bhati Town,31.5547,74.3657
Wahga Town,31.5786,74.4641
RAWAL,33.6299,73.0598
Gulberg Town,31.4615,74.3391
RAWAL,33.6346,73.054
Wahga Town,31.6002,74.4892
RAWAL,33.6272,73.0297
Sheikhupura,31.7007,73.9662
Data Ganj Bakhsh Town,31.5662,74.3228
Nishter Town,31.3753,74.3475
Muridkey,31.8344,74.259
Ravi Town,31.5977,74.3145
Gulberg Town,31.5334,74.3572
Allama Iqbal Town,31.4735,74.2863
Gulberg Town,31.5187,74.3276
Aziz Bhati Town,31.5632,74.4234
Data Ganj Bakhsh Town,31.5539,74.2978
Wahga Town,31.6049,74.4107
Nishter Town,31.3529,74.4825
Aziz Bhati Town,31.5619,74.3825
Ferozwala,31.6479,74.2824
Allama Iqbal Town,31.4736,74.297
Cantonment,31.4881,74.37
Cantonment,31.4936,74.3881
Sheikhupura,31.7128,73.9844
Wahga Town,31.5898,74.3974
Ravi Town,31.6266,74.289
Ravi Town,31.5812,74.3207
Shalamar Town,31.5871,74.365
Allama Iqbal Town,31.4723,74.2872
Ravi Town,31.5918,74.3284
Safdarabad,31.8324,73.6211
Allama Iqbal Town,31.5308,74.2611
Aziz Bhati Town,31.5801,74.4019
Allama Iqbal Town,31.4936,74.2628
Nishter Town,31.4416,74.3655
Shalamar Town,31.5842,74.3725
Data Ganj Bakhsh Town,31.5764,74.3031
Nishter Town,31.3195,74.3715
Allama Iqbal Town,31.5184,74.279
Muridkey,31.8007,74.1665
Faisal Abad City,31.4,73.081
Samanabad Town,31.5533,74.2743
Nishter Town,31.4392,74.3892
Aziz Bhati Town,31.5716,74.4074
Ravi Town,31.613,74.2955
Faisal Abad City,31.4413,73.0969
Cantonment,31.5182,74.4219
Wahga Town,31.6059,74.4392
Sheikhupura,31.7147,73.9932
Wahga Town,31.6017,74.3963
Wahga Town,31.5967,74.507
Muridkey,31.8062,74.254
Allama Iqbal Town,31.3919,74.0978
Ravi Town,31.6186,74.2765
Gulberg Town,31.5421,74.3578
Samanabad Town,31.5367,74.2719
Wahga Town,31.5933,74.3967
Ravi Town,31.6004,74.3209
Wahga Town,31.6057,74.4393
Shalamar Town,31.5996,74.3375
Gulberg Town,31.5265,74.3553
Aziz Bhati Town,31.5797,74.4007
Allama Iqbal Town,31.4567,74.2261
Allama Iqbal Town,31.4685,74.2331
Samanabad Town,31.5341,74.2832
Ferozwala,31.6751,74.1108
Samanabad Town,31.5574,74.2762
Ravi Town,31.6228,74.29
Shalamar Town,31.5945,74.3374
Data Ganj Bakhsh Town,31.5686,74.3089
Allama Iqbal Town,31.4947,74.2564
Wahga Town,31.4689,74.6247
Data Ganj Bakhsh Town,31.5558,74.2824
Data Ganj Bakhsh Town,31.5558,74.2957
Nishter Town,31.3732,74.3656
Cantonment,31.4944,74.3868
Gulberg Town,31.5662,74.355
Faisal Abad City,31.3939,73.0966
Allama Iqbal Town,31.5247,74.2794
Nishter Town,31.4305,74.2873
Data Ganj Bakhsh Town,31.5471,74.3358
Wahga Town,31.5775,74.4936
Data Ganj Bakhsh Town,31.5585,74.2939
RAWAL,33.6322,73.0667
Samanabad Town,31.5126,74.3211
Data Ganj Bakhsh Town,31.558,74.3185
Wahga Town,31.5908,74.4036
Ravi Town,31.5866,74.3182
Nishter Town,31.4396,74.346
Sheikhupura,31.7157,73.9881
Sharaqpur,31.5716,74.0711
Muridkey,31.8087,74.2399
Gulberg Town,31.525,74.3469
Nishter Town,31.44,74.3019
Gulberg Town,31.5381,74.3473
Data Ganj Bakhsh Town,31.568,74.3308
Samanabad Town,31.5402,74.3162
Aziz Bhati Town,31.5738,74.4138
Data Ganj Bakhsh Town,31.5732,74.2976
Nishter Town,31.4345,74.3747
Samanabad Town,31.5373,74.3028
